date,cpi_annual,year,month,month_name,cpih_annual,cpi_monthly,food_inflation,housing_energy_inflation,food_beverages,alcohol_tobacco,clothing_footwear,housing_energy,furniture_household,health,transport,communication,recreation_culture,education,restaurants_hotels,miscellaneous,cpi_yoy_change,cumulative_inflation,above_target,deviation_from_target,inflation_regime
1989-01-01,5.2,1989,1,January,5.7,5.6,0.4,-0.5,,,,,,,,,,,,,,0.43333333333333,True,3.2,High
1989-01-01,5.2,1989,1,January,5.7,4.3,0.4,-0.5,,,,,,,,,,,,,,0.8685444444444412,True,3.2,High
1989-01-01,5.2,1989,1,January,5.7,5.6,0.4,-0.5,,,,,,,,,,,,,,1.3056414703703556,True,3.2,High
1989-01-01,5.2,1989,1,January,5.7,4.3,0.4,-0.5,,,,,,,,,,,,,,1.744632583408623,True,3.2,High
1989-01-01,4.9,1989,1,January,5.7,5.6,0.4,-0.5,,,,,,,,,,,,,,2.1600898331242124,True,2.9000000000000004,Elevated
1989-01-01,4.9,1989,1,January,5.7,4.3,0.4,-0.5,,,,,,,,,,,,,,2.5772435332761523,True,2.9000000000000004,Elevated
1989-01-01,4.9,1989,1,January,5.7,5.6,0.4,-0.5,,,,,,,,,,,,,,2.9961006110370336,True,2.9000000000000004,Elevated
1989-01-01,4.9,1989,1,January,5.7,4.3,0.4,-0.5,,,,,,,,,,,,,,3.4166680218654433,True,2.9000000000000004,Elevated
1989-02-01,5.0,1989,2,February,5.8,4.0,0.4,0.5,,,,,,,,,,,,,,3.8475708052898794,True,3.0,High
1989-03-01,5.0,1989,3,March,5.9,4.2,0.5,0.5,,,,,,,,,,,,,,4.280269016978577,True,3.0,High
1989-03-01,5.0,1989,3,March,5.9,4.2,0.5,0.5,,,,,,,,,,,,,,4.714770137882662,True,3.0,High
1989-03-01,5.0,1989,3,March,5.8,4.2,0.5,0.5,,,,,,,,,,,,,,5.151081680123837,True,3.0,High
1989-03-01,5.0,1989,3,March,5.8,4.2,0.5,0.5,,,,,,,,,,,,,-0.20000000000000018,5.589211187124343,True,3.0,High
1989-03-01,5.0,1989,3,March,5.8,4.2,0.5,0.5,,,,,,,,,,,,,-0.20000000000000018,6.029166233737371,True,3.0,High
1989-03-01,5.0,1989,3,March,5.9,4.2,0.5,0.5,,,,,,,,,,,,,-0.20000000000000018,6.470954426377951,True,3.0,High
1989-03-01,5.0,1989,3,March,5.8,4.2,0.5,0.5,,,,,,,,,,,,,-0.20000000000000018,6.914583403154517,True,3.0,High
1989-03-01,5.0,1989,3,March,5.9,4.2,0.5,0.5,,,,,,,,,,,,,0.09999999999999964,7.360060834001003,True,3.0,High
1989-04-01,5.3,1989,4,April,5.6,4.9,1.0,0.5,,,,,,,,,,,,,0.39999999999999947,7.834234436017851,True,3.3,High
1989-05-01,5.3,1989,5,May,5.9,5.3,0.7,0.4,,,,,,,,,,,,,0.39999999999999947,8.310502304776946,True,3.3,High
1989-06-01,5.2,1989,6,June,5.8,5.2,0.3,0.2,,,,,,,,,,,,,0.2999999999999998,8.779847814764308,True,3.2,High
1989-06-01,5.2,1989,6,June,5.8,5.4,0.3,0.2,,,,,,,,,,,,,0.20000000000000018,9.251227155294938,True,3.2,High
1989-06-01,5.2,1989,6,June,5.8,5.2,0.3,0.2,,,,,,,,,,,,,0.20000000000000018,9.724649139634556,True,3.2,High
1989-06-01,5.2,1989,6,June,5.8,5.4,0.3,0.2,,,,,,,,,,,,,0.20000000000000018,10.200122619239638,True,3.2,High
1989-06-01,5.3,1989,6,June,5.8,5.2,0.3,0.2,,,,,,,,,,,,,0.2999999999999998,10.686839827474625,True,3.3,High
1989-06-01,5.3,1989,6,June,5.8,5.4,0.3,0.2,,,,,,,,,,,,,0.2999999999999998,11.175706703379307,True,3.3,High
1989-06-01,5.3,1989,6,June,5.8,5.4,0.3,0.2,,,,,,,,,,,,,0.2999999999999998,11.66673274131924,True,3.3,High
1989-06-01,5.3,1989,6,June,5.8,5.2,0.3,0.2,,,,,,,,,,,,,0.2999999999999998,12.159927477593403,True,3.3,High
1989-07-01,5.2,1989,7,July,5.7,5.7,0.0,-0.1,,,,,,,,,,,,,0.20000000000000018,12.645953829996293,True,3.2,High
1989-08-01,5.0,1989,8,August,5.5,5.7,0.3,0.4,,,,,,,,,,,,,0.0,13.115311970954613,True,3.0,High
1989-09-01,5.2,1989,9,September,5.7,5.8,0.7,0.4,,,,,,,,,,,,,-0.09999999999999964,13.605478322828745,True,3.2,High
1989-09-01,5.2,1989,9,September,5.6,6.1,0.7,0.4,,,,,,,,,,,,,-0.09999999999999964,14.097768728894323,True,3.2,High
1989-09-01,5.2,1989,9,September,5.6,5.8,0.7,0.4,,,,,,,,,,,,,0.0,14.592192393386183,True,3.2,High
1989-09-01,5.2,1989,9,September,5.7,6.1,0.7,0.4,,,,,,,,,,,,,0.0,15.088758560424175,True,3.2,High
1989-09-01,5.1,1989,9,September,5.7,5.8,0.7,0.4,,,,,,,,,,,,,-0.10000000000000053,15.57788578430599,True,3.0999999999999996,High
1989-09-01,5.1,1989,9,September,5.6,6.1,0.7,0.4,,,,,,,,,,,,,-0.10000000000000053,16.06909179888929,True,3.0999999999999996,High
1989-09-01,5.1,1989,9,September,5.6,5.8,0.7,0.4,,,,,,,,,,,,,-0.20000000000000018,16.56238543903459,True,3.0999999999999996,High
1989-09-01,5.1,1989,9,September,5.7,6.1,0.7,0.4,,,,,,,,,,,,,-0.20000000000000018,17.05777557715049,True,3.0999999999999996,High
1989-10-01,5.5,1989,10,October,5.8,7.1,0.8,0.6,,,,,,,,,,,,,0.20000000000000018,17.594290381879098,True,3.5,High
1989-11-01,5.5,1989,11,November,5.7,7.3,0.4,0.4,,,,,,,,,,,,,0.20000000000000018,18.133264212796043,True,3.5,High
1989-12-01,5.5,1989,12,December,5.8,7.5,0.2,0.2,,,,,,,,,,,,,0.2999999999999998,18.67470834043803,True,3.5,High
1989-12-01,5.5,1989,12,December,5.8,7.3,0.2,0.2,,,,,,,,,,,,,0.5,19.218634086998378,True,3.5,High
1989-12-01,5.5,1989,12,December,5.7,7.5,0.2,0.2,,,,,,,,,,,,,0.2999999999999998,19.7650528265638,True,3.5,High
1989-12-01,5.5,1989,12,December,5.7,7.3,0.2,0.2,,,,,,,,,,,,,0.2999999999999998,20.31397598535223,True,3.5,High
1989-12-01,5.5,1989,12,December,5.8,7.3,0.2,0.2,,,,,,,,,,,,,0.2999999999999998,20.865415041951763,True,3.5,High
1989-12-01,5.5,1989,12,December,5.7,7.5,0.2,0.2,,,,,,,,,,,,,0.2999999999999998,21.41938152756071,True,3.5,High
1989-12-01,5.5,1989,12,December,5.7,7.3,0.2,0.2,,,,,,,,,,,,,0.40000000000000036,21.9758870262287,True,3.5,High
1989-12-01,5.5,1989,12,December,5.8,7.5,0.2,0.2,,,,,,,,,,,,,0.40000000000000036,22.53494317509892,True,3.5,High
1990-01-01,7.0,1990,1,January,5.9,8.1,0.5,-0.2,,,,,,,,,,,,,1.9000000000000004,23.24973034362032,True,5.0,High
1990-01-01,7.0,1990,1,January,8.0,8.1,0.5,-0.2,,,,,,,,,,,,,1.9000000000000004,23.968687103958118,True,5.0,High
1990-01-01,7.0,1990,1,January,5.9,8.0,0.5,-0.2,,,,,,,,,,,,,1.5,24.691837778731205,True,5.0,High
1990-01-01,7.0,1990,1,January,8.0,8.0,0.5,-0.2,,,,,,,,,,,,,1.5,25.419206832440477,True,5.0,High
1990-01-01,5.7,1990,1,January,8.0,8.0,0.5,-0.2,,,,,,,,,,,,,0.20000000000000018,26.014948064894572,True,3.7,High
1990-01-01,5.7,1990,1,January,5.9,8.1,0.5,-0.2,,,,,,,,,,,,,0.20000000000000018,26.61351906820282,True,3.7,High
1990-01-01,5.7,1990,1,January,8.0,8.1,0.5,-0.2,,,,,,,,,,,,,0.20000000000000018,27.214933283776777,True,3.7,High
1990-01-01,5.7,1990,1,January,5.9,8.0,0.5,-0.2,,,,,,,,,,,,,0.20000000000000018,27.819204216874716,True,3.7,High
1990-02-01,5.9,1990,2,February,6.3,8.7,0.8,0.6,,,,,,,,,,,,,0.40000000000000036,28.447648637607692,True,3.9000000000000004,High
1990-03-01,6.0,1990,3,March,6.2,8.7,0.4,1.0,,,,,,,,,,,,,0.5,29.089886880795724,True,4.0,High
1990-03-01,6.0,1990,3,March,6.2,8.5,0.4,1.0,,,,,,,,,,,,,0.5,29.73533631519969,True,4.0,High
1990-03-01,6.0,1990,3,March,6.1,8.7,0.4,1.0,,,,,,,,,,,,,0.5,30.384012996775667,True,4.0,High
1990-03-01,6.0,1990,3,March,6.1,8.5,0.4,1.0,,,,,,,,,,,,,-1.0,31.035933061759536,True,4.0,High
1990-03-01,5.8,1990,3,March,6.2,8.7,0.4,1.0,,,,,,,,,,,,,-1.2000000000000002,31.669273404891364,True,3.8,High
1990-03-01,5.8,1990,3,March,6.2,8.5,0.4,1.0,,,,,,,,,,,,,-1.2000000000000002,32.30567489301499,True,3.8,High
1990-03-01,5.8,1990,3,March,6.1,8.7,0.4,1.0,,,,,,,,,,,,,-1.2000000000000002,32.94515232166455,True,3.8,High
1990-03-01,5.8,1990,3,March,6.1,8.5,0.4,1.0,,,,,,,,,,,,,0.09999999999999964,33.58772055788592,True,3.8,High
1990-04-01,6.4,1990,4,April,7.7,8.4,2.5,0.5,,,,,,,,,,,,,0.7000000000000002,34.30018840086133,True,4.4,High
1990-05-01,6.8,1990,5,May,8.2,9.1,1.1,0.7,,,,,,,,,,,,,1.0999999999999996,35.06122280179955,True,4.8,High
1990-06-01,6.9,1990,6,June,8.2,8.6,0.3,0.3,,,,,,,,,,,,,1.2000000000000002,35.837824832909895,True,4.9,High
1990-06-01,6.9,1990,6,June,8.2,8.7,0.3,0.3,,,,,,,,,,,,,1.0,36.61889232569911,True,4.9,High
1990-06-01,6.9,1990,6,June,8.0,8.6,0.3,0.3,,,,,,,,,,,,,0.9000000000000004,37.40445095657186,True,4.9,High
1990-06-01,6.9,1990,6,June,8.0,8.7,0.3,0.3,,,,,,,,,,,,,0.9000000000000004,38.19452654957214,True,4.9,High
1990-06-01,6.7,1990,6,June,8.2,8.6,0.3,0.3,,,,,,,,,,,,,0.7000000000000002,38.96611265614058,True,4.7,High
1990-06-01,6.7,1990,6,June,8.2,8.7,0.3,0.3,,,,,,,,,,,,,0.7000000000000002,39.74200678513735,True,4.7,High
1990-06-01,6.7,1990,6,June,8.0,8.6,0.3,0.3,,,,,,,,,,,,,0.9000000000000004,40.52223298968769,True,4.7,High
1990-06-01,6.7,1990,6,June,8.0,8.7,0.3,0.3,,,,,,,,,,,,,0.9000000000000004,41.30681545721344,True,4.7,High
1990-07-01,6.8,1990,7,July,8.2,8.1,0.0,-1.2,,,,,,,,,,,,,1.0,42.10755407813767,True,4.8,High
1990-08-01,7.7,1990,8,August,8.9,8.8,0.9,1.2,,,,,,,,,,,,,1.9000000000000004,43.01941088347239,True,5.7,High
1990-09-01,7.5,1990,9,September,8.8,8.3,0.9,0.8,,,,,,,,,,,,,1.0999999999999996,43.913282201494106,True,5.5,High
1990-09-01,7.5,1990,9,September,9.2,8.4,0.9,0.8,,,,,,,,,,,,,0.7000000000000002,44.812740215253456,True,5.5,High
1990-09-01,7.5,1990,9,September,8.8,8.4,0.9,0.8,,,,,,,,,,,,,0.5999999999999996,45.717819841598796,True,5.5,High
1990-09-01,7.5,1990,9,September,9.2,8.3,0.9,0.8,,,,,,,,,,,,,0.5999999999999996,46.628556215608796,True,5.5,High
1990-09-01,8.1,1990,9,September,8.8,8.3,0.9,0.8,,,,,,,,,,,,,1.1999999999999993,47.61829897006415,True,6.1,High
1990-09-01,8.1,1990,9,September,9.2,8.4,0.9,0.8,,,,,,,,,,,,,1.1999999999999993,48.61472248811209,True,6.1,High
1990-09-01,8.1,1990,9,September,9.2,8.3,0.9,0.8,,,,,,,,,,,,,1.3999999999999995,49.617871864906846,True,6.1,High
1990-09-01,8.1,1990,9,September,8.8,8.4,0.9,0.8,,,,,,,,,,,,,1.3999999999999995,50.62779249999498,True,6.1,High
1990-10-01,8.1,1990,10,October,9.2,7.2,0.8,0.6,,,,,,,,,,,,,1.3999999999999995,51.64453009936996,True,6.1,High
1990-11-01,7.8,1990,11,November,9.2,6.8,0.3,0.7,,,,,,,,,,,,,1.0999999999999996,52.630219545015855,True,5.8,High
1990-12-01,7.8,1990,12,December,9.2,6.6,0.2,0.5,,,,,,,,,,,,,1.0,53.622315972058445,True,5.8,High
1990-12-01,7.8,1990,12,December,9.2,6.9,0.2,0.5,,,,,,,,,,,,,0.09999999999999964,54.62086102587682,True,5.8,High
1990-12-01,7.8,1990,12,December,9.2,6.6,0.2,0.5,,,,,,,,,,,,,0.2999999999999998,55.62589662254502,True,5.8,High
1990-12-01,7.8,1990,12,December,9.2,6.9,0.2,0.5,,,,,,,,,,,,,0.2999999999999998,56.637464950591564,True,5.8,High
1990-12-01,7.6,1990,12,December,9.2,6.6,0.2,0.5,,,,,,,,,,,,,0.09999999999999964,57.62950222861198,True,5.6,High
1990-12-01,7.6,1990,12,December,9.2,6.9,0.2,0.5,,,,,,,,,,,,,0.09999999999999964,58.62782240939319,True,5.6,High
1990-12-01,7.6,1990,12,December,9.2,6.6,0.2,0.5,,,,,,,,,,,,,-0.5,59.63246528465267,True,5.6,High
1990-12-01,7.6,1990,12,December,9.2,6.9,0.2,0.5,,,,,,,,,,,,,-0.5,60.64347089812212,True,5.6,High
1991-01-01,7.1,1991,1,January,8.6,5.9,0.0,-1.8,,,,,,,,,,,,,-1.0,61.59394476760267,True,5.1,High
1991-01-01,7.1,1991,1,January,8.6,5.2,0.0,-1.8,,,,,,,,,,,,,-1.0,62.55004227414431,True,5.1,High
1991-01-01,7.1,1991,1,January,7.5,5.9,0.0,-1.8,,,,,,,,,,,,,-1.0,63.51179669093299,True,5.1,High
