Borough,Avg Price,Median Price,Min Price,Max Price,Transactions
CITY OF LONDON,2671635.5077105574,935000.0,11712,45196950,843
KENSINGTON AND CHELSEA,2419094.0536020584,1275000.0,10000,45000000,6996
CAMDEN,1362679.8553245116,795000.0,10000,47959540,7935
HAMMERSMITH AND FULHAM,1058493.5504728132,775000.0,10000,32150000,8460
ISLINGTON,982479.4398505925,675000.0,10000,48950000,7764
RICHMOND UPON THAMES,977420.354547481,700000.0,10250,23983370,8972
WANDSWORTH,920168.3236229976,675000.0,10000,44267787,18228
SOUTHWARK,779997.5574387948,555000.0,10000,43250000,10620
BARNET,771292.4558189656,550000.0,10000,37934103,13920
HACKNEY,767137.4645678716,590000.0,10000,46498235,8354
MERTON,744416.7279507518,525000.0,10000,38500000,8447
HARINGEY,728794.4121130853,545000.0,10000,23649999,8949
LAMBETH,708921.4011843663,537500.0,10000,48268839,12665
BRENT,698960.748524796,530000.0,10000,44750000,7965
KINGSTON UPON THAMES,698325.6375515818,537500.0,12000,46631315,7270
EALING,677394.1872806285,515000.0,10000,49700000,11966
TOWER HAMLETS,667408.6477704805,500000.0,10000,48600000,11572
HOUNSLOW,653666.6932174753,460000.0,10000,48400000,8286
BROMLEY,588667.5132584888,490000.0,10000,20500000,14519
HILLINGDON,584660.0989142344,465000.0,10000,46821073,10039
HARROW,580692.6809746423,505000.0,10000,31000000,7059
ENFIELD,569155.2629107981,441000.0,10000,42000000,9585
GREENWICH,565046.7778857365,450000.0,10000,49300000,10292
LEWISHAM,560493.6603308051,450000.0,10000,37328842,10943
WALTHAM FOREST,559594.028930689,500000.0,10000,48506533,9782
REDBRIDGE,545997.1348565752,477500.0,10000,23175000,8053
NEWHAM,505509.34095608804,430000.0,10000,32350000,8221
SUTTON,497510.1660023447,435000.0,10000,24000000,8530
CROYDON,490638.3914111244,400000.0,10000,36000000,15066
HAVERING,471324.975642883,428000.0,10000,21650000,11044
BEXLEY,446939.42994379153,407000.0,10000,40960000,9785
BARKING AND DAGENHAM,414989.6536486982,365800.0,10000,25000000,5454
